Image,ID,Name,Type,Material,Style,Substyle,Method,Aging,Origin,Stock,Want,Reference
,1380,Wray & Nephew (overproof),Rum,Molasses & evaporated cane,Jamaican rum,Overproof,Pot Still,Unaged,Jamaica,,4,"D+C: WH, D+C: Codex"
,1385,Rum Fire Jamaican Overproof,Rum,Molasses & evaporated cane,Jamaican rum,Overproof,Pot Still,Unaged,Jamaica,,4,
,1390,Grand Canyon Distillery Rum,Rum,Molasses & evaporated cane,Rum,,Pot Still,Unaged,"Arizona, USA",,9,
,1400,Ballast Point Three Sheets Aged,Rum,Molasses & evaporated cane,Rum,,Pot Still,Lightly Aged,"California, USA",,9,
,1410,Diablo’s Shadow Navy Strength,Rum,Molasses & evaporated cane,Rum,,Pot Still,Lightly Aged,"California, USA",,9,
,1420,House Spirits Aged Rum,Rum,Molasses & evaporated cane,Rum,,Pot Still,Lightly Aged,"Oregon, USA",,9,
,1430,Journeyman Road’s End Organic Rum Navy Strength,Rum,Molasses & evaporated cane,Rum,,Pot Still,Lightly Aged,"Michigan, USA",,9,
,1440,Maggie’s Farm Queen’s Share Rum,Rum,Molasses & evaporated cane,Rum,,Pot Still,Lightly Aged,"Pennsylvania, USA",,9,
,1450,Montanya Oro,Rum,Molasses & evaporated cane,Rum,,Pot Still,Lightly Aged,"Colorado, USA",,9,
,1460,Montanya Platino,Rum,Molasses & evaporated cane,Rum,,Pot Still,Lightly Aged,"Colorado, USA",,9,
,1470,Prichard’s Fine,Rum,Molasses & evaporated cane,Rum,,Pot Still,Lightly Aged,"Tennessee, USA",,9,
,1480,Privateer American Amber,Rum,Molasses & evaporated cane,Rum,,Pot Still,Lightly Aged,"Massachusetts, USA",,9,
,1490,Ragged Mountain Gold,Rum,Molasses & evaporated cane,Rum,,Pot Still,Lightly Aged,"Massachusetts, USA",,9,
,1500,Richland Single Estate Old Georgia Rum,Rum,Molasses & evaporated cane,Rum,,Pot Still,Lightly Aged,"Georgia, USA",,9,
,1510,Rum Society #65 ,Rum,Molasses & evaporated cane,Rum,,Pot Still,Lightly Aged,Regional Blend,,9,
,1520,Smith & Cross Navy Strength,Rum,Molasses & evaporated cane,Jamaican rum,,Pot Still,Lightly Aged,Jamaica,0.1,2,"D+C: Codex, Suderman, Lost Lake"
,1530,Sun Rum Barrel Aged,Rum,Molasses & evaporated cane,Rum,,Pot Still,Lightly Aged,"Washington, USA",,9,
,1540,Thomas Tew Single Barrel,Rum,Molasses & evaporated cane,Rum,,Pot Still,Lightly Aged,"Rhode Island, USA",,9,
,1550,Berry Bros & Rudd Berrys' Own,Rum,Molasses & evaporated cane,Rum,,Pot Still,Aged,Various,,9,
