Book,#,Name,Ingredient,Idx,Category,Type,Page,Stock,,
Smuggler's Cove,69,Jet Pilot,Herbstura,,Bitters (herbstura),,61,3,,
Smuggler's Cove,70,,,,,,,,,
Smuggler's Cove,71,Halekulani Cocktail,Lemon Juice,,Juice (lemon),,61,3,,
Smuggler's Cove,72,Halekulani Cocktail,Orange Juice,,Juice (orange),,61,3,,
Smuggler's Cove,73,Halekulani Cocktail,Pineapple Juice,,Juice (pineapple),,61,3,,
Smuggler's Cove,74,Halekulani Cocktail,Demerara Syrup,,Syrup (demerara),,61,3,,
Smuggler's Cove,75,Halekulani Cocktail,Grenadine,,Syrup (grenadine),,61,3,,
Smuggler's Cove,76,Halekulani Cocktail,Bourbon,,Whiskey (bourbon),,61,2,,
Smuggler's Cove,77,Halekulani Cocktail,Angostura Bitters,,Bitters (aromatic),,61,3,,
Smuggler's Cove,78,,,,,,,,,
Smuggler's Cove,79,Sidewinder's Fang,Sidewinder's Fang Peel,,Garnish (sidewinder's Fang Peel),,62,,,
Smuggler's Cove,80,Sidewinder's Fang,Lime Juice,,Juice (lime),,62,3,,
Smuggler's Cove,81,Sidewinder's Fang,Orange Juice,,Juice (orange),,62,3,,
Smuggler's Cove,82,Sidewinder's Fang,Passion Fruit Syrup,,Syrup (passion Fruit),,62,3,,
Smuggler's Cove,83,Sidewinder's Fang,Seltzer,,Soda,,62,3,,
Smuggler's Cove,84,Sidewinder's Fang,Blended Aged Rum,R3,Rum (blended Aged),,62,3,,
Smuggler's Cove,85,Sidewinder's Fang,Black Blended Rum,RR5,Rum (black Blended),,62,3,,
Smuggler's Cove,86,,,,,,,,,
Smuggler's Cove,87,Hawaiin Sunset,Lime Juice,,Juice (lime),,62,3,,
Smuggler's Cove,88,Hawaiin Sunset,Lemon Juice,,Juice (lemon),,62,3,,
Smuggler's Cove,89,Hawaiin Sunset,Orgeat,,Syrup (almond),,62,3,,
Smuggler's Cove,90,Hawaiin Sunset,Grenadine,,Syrup (grenadine),,62,3,,
Smuggler's Cove,91,Hawaiin Sunset,Vodka,,Vodka,,62,2,,
Smuggler's Cove,92,,,,,,,,,
Smuggler's Cove,93,Captain's Grog,Lime Juice,,Juice (lime),,65,3,,
Smuggler's Cove,94,Captain's Grog,Grapefruit Juice,,Juice (grapefruit),,65,3,,
Smuggler's Cove,95,Captain's Grog,Maple Syrup,,Syrup (maple),,65,3,,
Smuggler's Cove,96,Captain's Grog,Vanilla Extract,,Extract (vanilla),,65,3,,
Smuggler's Cove,97,Captain's Grog,Almond Extract,,Extract (almond),,65,,,
Smuggler's Cove,98,Captain's Grog,Seltzer,,Soda,,65,3,,
Smuggler's Cove,99,Captain's Grog,John D. Taylor's Velvet Falernum,,Liqueur (falernum),,65,3,,
Smuggler's Cove,100,Captain's Grog,Pierre Ferrand Dry Curacao,,Liqueur (orange),,65,3,,
Smuggler's Cove,101,Captain's Grog,Black Blended Rum,RR5,Rum (black Blended),,65,3,,
Smuggler's Cove,102,Captain's Grog,Blended Lightly Aged Rum,R2,Rum (blended Lightly Aged),,65,3,,
Smuggler's Cove,103,Captain's Grog,Blended Aged Rum,R3,Rum (blended Aged),,65,3,,
Smuggler's Cove,104,,,,,,,,,
Smuggler's Cove,105,Suffering Bastard,Ginger Beer,,Beer (ginger),,65,2,,
Smuggler's Cove,106,Suffering Bastard,Lime Juice,,Juice (lime),,65,3,,
Smuggler's Cove,107,Suffering Bastard,Demerara Syrup,,Syrup (demerara),,65,3,,
Smuggler's Cove,108,Suffering Bastard,London Dry Gin,,Gin (london Dry),,65,3,,
Smuggler's Cove,109,Suffering Bastard,Brandy,,Brandy (grape),,65,3,,
Smuggler's Cove,110,Suffering Bastard,Angostura Bitters,,Bitters (aromatic),,65,3,,
Smuggler's Cove,111,,,,,,,,,
Smuggler's Cove,112,Merciless Virgin,Lemon Juice,,Juice (lemon),,67,3,,
Smuggler's Cove,113,Merciless Virgin,Seltzer,,Soda,,67,3,,
Smuggler's Cove,114,Merciless Virgin,Cherry Heering Liqueur,,Liqueur (cherry Heering),,67,,,
Smuggler's Cove,115,Merciless Virgin,John D. Taylor's Velvet Falernum,,Liqueur (falernum),,67,3,,
Smuggler's Cove,116,Merciless Virgin,Pierre Ferrand Dry Curacao,,Liqueur (orange),,67,3,,
Smuggler's Cove,117,Merciless Virgin,Blended Lightly Aged Rum,R2,Rum (blended Lightly Aged),,67,3,,
Smuggler's Cove,118,,,,,,,,,
Smuggler's Cove,119,Saturn,Lemon Juice,,Juice (lemon),,67,3,,
Smuggler's Cove,120,Saturn,Passion Fruit Syrup,,Syrup (passion Fruit),,67,3,,
Smuggler's Cove,121,Saturn,Orgeat,,Syrup (almond),,67,3,,
Smuggler's Cove,122,Saturn,John D. Taylor's Velvet Falernum,,Liqueur (falernum),,67,3,,
Smuggler's Cove,123,Saturn,London Dry Gin,,Gin (london Dry),,67,3,,
Smuggler's Cove,124,,,,,,,,,
Smuggler's Cove,125,Tiki Bowl,Orange Juice,,Juice (orange),,68,3,,
Smuggler's Cove,126,Tiki Bowl,Lime Juice,,Juice (lime),,68,3,,
Smuggler's Cove,127,Tiki Bowl,Honey Syrup,,Syrup (honey),,68,3,,
Smuggler's Cove,128,Tiki Bowl,Black Blended Rum,RR5,Rum (black Blended),,68,3,,
Smuggler's Cove,129,Tiki Bowl,Black Blended Overproof Rum,R6,Rum (black Blended Overproof),,68,3,,
Smuggler's Cove,130,Tiki Bowl,Column Still Aged Rum,R4,Rum (column Still Aged),,68,3,,
Smuggler's Cove,131,Tiki Bowl,Herbstura,,Bitters (herbstura),,68,3,,
Smuggler's Cove,132,,,,,,,,,
Smuggler's Cove,133,Hurricane,Lemon Juice,,Juice (lemon),,68,3,,
Smuggler's Cove,134,Hurricane,Passion Fruit Syrup,,Syrup (passion Fruit),,68,3,,
Smuggler's Cove,135,Hurricane,Black Blended Rum,RR5,Rum (black Blended),,68,3,,
Smuggler's Cove,136,,,,,,,,,
Smuggler's Cove,137,Mundo Perdido,Lemon Juice,,Juice (lemon),,93,3,,
Smuggler's Cove,138,Mundo Perdido,Cinnamon Syrup,,Syrup (cinnamon),,93,3,,
Smuggler's Cove,139,Mundo Perdido,Demerara Syrup,,Syrup (demerara),,93,3,,
Smuggler's Cove,140,Mundo Perdido,Apple Brandy,,Brandy (apple),,93,3,,
Smuggler's Cove,141,Mundo Perdido,Black Blended Rum,RR5,Rum (black Blended),,93,3,,
Smuggler's Cove,142,,,,,,,,,
Smuggler's Cove,143,Formidable Dragon,Lemon Juice,,Juice (lemon),,93,3,,
Smuggler's Cove,144,Formidable Dragon,Lime Juice,,Juice (lime),,93,3,,
Smuggler's Cove,145,Formidable Dragon,Honey Syrup,,Syrup (honey),,93,3,,
Smuggler's Cove,146,Formidable Dragon,Molasses Syrup,,Syrup (molasses),,93,,,
Smuggler's Cove,147,Formidable Dragon,Amaro Di Angostura,,Amaro (di Angostura),,93,,,
Smuggler's Cove,148,Formidable Dragon,Blended Aged Rum,R3,Rum (blended Aged),,93,3,,
Smuggler's Cove,149,Formidable Dragon,Black Blended Rum,RR5,Rum (black Blended),,93,3,,
Smuggler's Cove,150,Formidable Dragon,Pot Still Lightly Aged Rum (overproof),R1,Pot Still Lightly Aged Rum (overproof),,93,3,,
Smuggler's Cove,151,Formidable Dragon,Seltzer,,Soda,,93,3,,
Smuggler's Cove,152,,,,,,,,,
Smuggler's Cove,153,Lei Lani Volcano 2.0,Bundaberg Guava Soda,,Soda (guava),,94,,,
Smuggler's Cove,154,Lei Lani Volcano 2.0,Pineapple Juice,,Juice (pineapple),,94,3,,
Smuggler's Cove,155,Lei Lani Volcano 2.0,Lime Juice,,Juice (lime),,94,3,,
Smuggler's Cove,156,Lei Lani Volcano 2.0,Coconut Cream,,Cream (coconut),,94,3,,
Smuggler's Cove,157,Lei Lani Volcano 2.0,Blended Aged Rum,R3,Rum (blended Aged),,94,3,,
Smuggler's Cove,158,,,,,,,,,
Smuggler's Cove,159,Tradewinds,Lemon Juice,,Juice (lemon),,94,3,,
Smuggler's Cove,160,Tradewinds,Coconut Cream,,Cream (coconut),,94,3,,
Smuggler's Cove,161,Tradewinds,Giffard Abricot du Roussillon,,Liqueur (apricot),,94,,,
Smuggler's Cove,162,Tradewinds,Black Blended Rum,RR5,Rum (black Blended),,94,3,,
Smuggler's Cove,163,Tradewinds,Blended Lightly Aged Rum,R2,Rum (blended Lightly Aged),,94,3,,
Smuggler's Cove,164,,,,,,,,,
Smuggler's Cove,165,Peachtree Punch 2.0,"Yellow or White Peach, Pitted, and Coarsely Chopped Into Chunks (with Skin)",,Fruit (peach),,96,,,
Smuggler's Cove,166,Peachtree Punch 2.0,Orange Juice,,Juice (orange),,96,3,,
Smuggler's Cove,167,Peachtree Punch 2.0,Lemon Juice,,Juice (lemon),,96,3,,
Smuggler's Cove,168,Peachtree Punch 2.0,Coconut Cream,,Cream (coconut),,96,3,,
Smuggler's Cove,169,Peachtree Punch 2.0,Giffard Creme Peche De Vigne,,Liqueur (peach),,96,,,
Smuggler's Cove,170,Peachtree Punch 2.0,Blended Lightly Aged Rum,R2,Rum (blended Lightly Aged),,96,3,,
Smuggler's Cove,171,Peachtree Punch 2.0,Seltzer,,Soda,,96,3,,
Smuggler's Cove,172,,,,,,,,,
Smuggler's Cove,173,Jungle Bird,Pineapple Juice,,Juice (pineapple),,96,3,,
Smuggler's Cove,174,Jungle Bird,Lime Juice,,Juice (lime),,96,3,,
Smuggler's Cove,175,Jungle Bird,Demerara Syrup,,Syrup (demerara),,96,3,,
Smuggler's Cove,176,Jungle Bird,Campari,,Amaro (Aperitivo) (Campari),,96,3,,
Smuggler's Cove,177,Jungle Bird,Black Blended Rum,RR5,Rum (black Blended),,96,3,,
Smuggler's Cove,178,,,,,,,,,
Smuggler's Cove,179,Golden Gun,Lime Juice,,Juice (lime),,97,3,,
Smuggler's Cove,180,Golden Gun,Grapefruit Juice,,Juice (grapefruit),,97,3,,
Smuggler's Cove,181,Golden Gun,Demerara Syrup,,Syrup (demerara),,97,3,,
Smuggler's Cove,182,Golden Gun,Giffard Abricot du Roussillon,,Liqueur (apricot),,97,,,
Smuggler's Cove,183,Golden Gun,Blended Aged Rum,R3,Rum (blended Aged),,97,3,,
Smuggler's Cove,184,Golden Gun,Blended Lightly Aged Rum,R2,Rum (blended Lightly Aged),,97,3,,
Smuggler's Cove,185,Golden Gun,Angostura Bitters,,Bitters (aromatic),,97,3,,
Smuggler's Cove,186,,,,,,,,,
Smuggler's Cove,187,Hinky Dinks Fizzy,Sparkling Wine,,Wine (sparkling),,97,2,,
Smuggler's Cove,188,Hinky Dinks Fizzy,Pineapple Juice,,Juice (pineapple),,97,3,,
Smuggler's Cove,189,Hinky Dinks Fizzy,Lime Juice,,Juice (lime),,97,3,,
Smuggler's Cove,190,Hinky Dinks Fizzy,Passion Fruit Syrup,,Syrup (passion Fruit),,97,3,,
Smuggler's Cove,191,Hinky Dinks Fizzy,Giffard Abricot du Roussillon,,Liqueur (apricot),,97,,,
Smuggler's Cove,192,Hinky Dinks Fizzy,London Dry Gin,,Gin (london Dry),,97,3,,
Smuggler's Cove,193,Hinky Dinks Fizzy,Blended Lightly Aged Rum,R2,Rum (blended Lightly Aged),,97,3,,
Smuggler's Cove,194,,,,,,,,,
Smuggler's Cove,195,Pampanito,Lemon Juice,,Juice (lemon),,115,3,,
Smuggler's Cove,196,Pampanito,Molasses Syrup,,Syrup (molasses),,115,,,
Smuggler's Cove,197,Pampanito,Seltzer,,Soda,,115,3,,
Smuggler's Cove,198,Pampanito,St. Elizabeth Allspice Dram,,Liqueur (allspice Dram),,115,3,,
Smuggler's Cove,199,Pampanito,Black Blended Rum,RR5,Rum (black Blended),,115,3,,
Smuggler's Cove,200,Pampanito,Angostura Bitters,,Bitters (aromatic),,115,3,,
Smuggler's Cove,201,,,,,,,,,
Smuggler's Cove,202,Max's Mistake,Lemon Juice,,Juice (lemon),,115,3,,
Smuggler's Cove,203,Max's Mistake,Passion Fruit Syrup,,Syrup (passion Fruit),,115,3,,
Smuggler's Cove,204,Max's Mistake,Honey Syrup,,Syrup (honey),,115,3,,
Smuggler's Cove,205,Max's Mistake,London Dry Gin,,Gin (london Dry),,115,3,,
Smuggler's Cove,206,Max's Mistake,Angostura Bitters,,Bitters (aromatic),,115,3,,
Smuggler's Cove,207,Max's Mistake,Fentimans Victorian Lemonade (or Any Quality Dry Sparkling Lemonade),,Sparkling Lemonade,,115,,,
Smuggler's Cove,208,,,,,,,,,
Smuggler's Cove,209,La Guildive,Ginger Beer,,Beer (ginger),,116,2,,
Smuggler's Cove,210,La Guildive,Lime Juice,,Juice (lime),,116,3,,
Smuggler's Cove,211,La Guildive,Licor 43,,Liqueur (licor 43),,116,,,
Smuggler's Cove,212,La Guildive,Giffard Creme Peche De Vigne,,Liqueur (peach),,116,,,
Smuggler's Cove,213,La Guildive,Blended Aged Rum,R3,Rum (blended Aged),,116,3,,
Smuggler's Cove,214,La Guildive,Grated Cinnamon,,Spice (cinnamon),,116,3,,
Smuggler's Cove,215,,,,,,,,,
Smuggler's Cove,216,The Twenty Seventy Swizzle,Lime Juice,,Juice (lime),,116,3,,
Smuggler's Cove,217,The Twenty Seventy Swizzle,Demerara Syrup,,Syrup (demerara),,116,3,,
Smuggler's Cove,218,The Twenty Seventy Swizzle,Honey Syrup,,Syrup (honey),,116,3,,
Smuggler's Cove,219,The Twenty Seventy Swizzle,St. Elizabeth Allspice Dram,,Liqueur (allspice Dram),,116,3,,
Smuggler's Cove,220,The Twenty Seventy Swizzle,Column Still Aged Rum,R4,Rum (column Still Aged),,116,3,,
